products.id,products.title,products.description,products.category,products.price,products.discountPercentage,products.rating,products.stock,products.tags,products.brand,products.sku,products.weight,products.dimensions.width,products.dimensions.height,products.dimensions.depth,products.warrantyInformation,products.shippingInformation,products.availabilityStatus,products.reviews,products.returnPolicy,products.minimumOrderQuantity,products.meta.createdAt,products.meta.updatedAt,products.meta.barcode,products.meta.qrCode,products.images,products.thumbnail
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,groceries,8.99,9.58,3.13,46,[List],null,B081WT6GG7,10,18.08,9.26,21.86,1 year warranty,Ships overnight,In Stock,[List],No return policy,18,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.48399E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",groceries,9.99,13.7,3.19,97,[List],null,B098133PV5,1,11.03,22.11,16.01,1 year warranty,Ships in 1 month,In Stock,[List],7 days return policy,22,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.82951E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",groceries,4.99,9.33,4.8,10,[List],null,B0983DDPL6,5,19.95,27.54,24.86,Lifetime warranty,Ships in 1-2 business days,In Stock,[List],30 days return policy,46,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.87473E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",groceries,1.49,0.16,4.07,84,[List],null,B09HMXJVFS,4,12.8,28.38,21.34,2 year warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,2,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.30007E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,groceries,10.99,10.27,4.55,71,[List],null,B09KXV4BN8,10,16.93,27.15,9.29,No warranty,Ships in 1-2 business days,In Stock,[List],60 days return policy,43,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.90669E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",groceries,2.99,11.05,2.53,9,[List],null,B082W7GVH7,2,11.42,7.44,16.95,1 week warranty,Ships in 1 week,In Stock,[List],No return policy,32,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.47864E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",groceries,14.99,4.23,3.78,74,[List],null,B099NK55YG,6,14.95,26.31,11.27,1 month warranty,Ships in 3-5 business days,In Stock,[List],60 days return policy,50,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.59504E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",groceries,1.29,0.16,3.25,33,[List],null,B08YYYDN9R,2,15.33,26.65,14.44,1 month warranty,Ships in 1 week,In Stock,[List],30 days return policy,12,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.36523E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",groceries,0.99,1,3.66,3,[List],null,B09G2RQSRZ,7,15.38,18.12,19.92,2 year warranty,Ships in 1 week,Low Stock,[List],30 days return policy,39,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.335E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",groceries,6.99,14.4,3.97,34,[List],null,B082W8JXJ9,2,9.28,21.72,17.74,1 month warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,47,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.35431E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",groceries,5.49,8.69,3.39,27,[List],null,B09LD2W9XL,1,14.83,15.07,24.2,1 month warranty,Ships in 2 weeks,In Stock,[List],No return policy,42,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.88955E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",groceries,3.99,12.06,3.94,50,[List],null,B08KRXV1QR,1,18.56,21.46,28.02,6 months warranty,Ships in 1 week,In Stock,[List],No return policy,25,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.93611E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",groceries,2.49,15.22,4.93,99,[List],null,B07JG3CND8,5,19.4,18.67,17.13,6 months warranty,Ships overnight,In Stock,[List],7 days return policy,30,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.53017E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",groceries,0.79,9.7,3.53,31,[List],null,B099NR7612,3,23.77,9.22,12.05,No warranty,Ships in 1 month,In Stock,[List],7 days return policy,29,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.87181E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",groceries,3.49,13.74,2.61,27,[List],null,B08YYTCPYX,5,12.92,15.76,11.29,3 year warranty,Ships in 2 weeks,In Stock,[List],7 days return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.83503E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",groceries,4.99,12.87,4.95,99,[List],null,B08B3YNJG5,5,12.8,18.54,6.31,2 year warranty,Ships in 1 week,In Stock,[List],No return policy,43,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.20663E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",groceries,7.99,1.59,4.82,57,[List],null,B09K3XR43V,6,20.54,29.49,29.2,1 year warranty,Ships in 1-2 business days,In Stock,[List],30 days return policy,8,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.57264E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",groceries,2.29,5.38,4.81,13,[List],null,B082W8BXW1,9,22.65,9.83,21.75,3 year warranty,Ships in 3-5 business days,In Stock,[List],90 days return policy,9,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.5904E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",groceries,19.99,7.59,4.18,80,[List],null,B08YYRH2Q6,9,9.01,12.53,22.35,1 week warranty,Ships in 1 month,In Stock,[List],No return policy,6,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.35397E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",groceries,1.99,9.9,4.2,82,[List],null,B09KXT4VG7,9,16.01,24.96,12.74,1 month warranty,Ships in 3-5 business days,In Stock,[List],7 days return policy,8,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.71637E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",groceries,5.99,9.29,3.18,59,[List],null,B081WSCKPQ,5,17.21,9.88,17.16,6 months warranty,Ships overnight,In Stock,[List],No return policy,20,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.33976E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",groceries,1.99,17.48,4.75,53,[List],null,B09831VWD9,9,19.75,6.79,9.33,6 months warranty,Ships in 2 weeks,In Stock,[List],7 days return policy,10,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.99117E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",groceries,3.99,1.12,3.08,46,[List],null,B09SDXZBGX,1,28.18,21.25,28.54,1 week warranty,Ships in 1-2 business days,In Stock,[List],No return policy,12,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,7.92647E+11,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
41,Tissue Paper Box,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",groceries,2.49,13.28,2.69,86,[List],null,B0794YR85H,1,18.75,17.58,12.43,No warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,44,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.44647E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
42,Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",groceries,0.99,14.92,4.96,53,[List],null,B09QJM1D7F,4,18.43,7.4,17.79,3 months warranty,Ships in 1 month,In Stock,[List],7 days return policy,28,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.40983E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
43,Decoration Swing,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",home-decoration,59.99,10.41,3.16,47,[List],null,B08XQ8MCKP,4,23.84,15.19,26.05,1 week warranty,Ships in 1 month,In Stock,[List],90 days return policy,8,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,9.64697E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp
44,Family Tree Photo Frame,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",home-decoration,29.99,14.87,4.53,77,[List],null,B08B3Z38TJ,1,17.27,14.81,29.11,1 month warranty,Ships in 2 weeks,In Stock,[List],No return policy,15,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.39874E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
45,House Showpiece Plant,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,home-decoration,39.99,7.46,4.67,28,[List],null,B08XNDL1DL,8,8.55,14.62,17.25,1 year warranty,Ships in 1 week,In Stock,[List],No return policy,3,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.4338E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp
46,Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",home-decoration,14.99,6.84,3.01,59,[List],null,B0986ZHR9D,9,9.83,20.28,13.49,Lifetime warranty,Ships in 3-5 business days,In Stock,[List],30 days return policy,31,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.47707E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
47,Table Lamp,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",home-decoration,49.99,7.09,3.55,9,[List],null,B08WPTJBBD,4,8.98,13.41,5.65,3 months warranty,Ships in 1-2 business days,In Stock,[List],90 days return policy,2,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,8.80614E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp
48,Bamboo Spatula,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",kitchen-accessories,7.99,2.84,3.27,37,[List],null,B081WVMMCY,3,21.32,23.03,25.94,1 month warranty,Ships overnight,In Stock,[List],60 days return policy,29,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.98818E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
49,Black Aluminium Cup,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,kitchen-accessories,5.99,15.65,4.46,75,[List],null,B091Z81MLX,7,5.88,5.11,10.03,1 year warranty,Ships overnight,In Stock,[List],30 days return policy,48,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,5.60616E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp
50,Black Whisk,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,kitchen-accessories,9.99,10.24,3.9,73,[List],null,B0894XH3LN,1,13.03,5.99,20.64,3 months warranty,Ships in 1 month,In Stock,[List],30 days return policy,40,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,3.1125E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
51,Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",kitchen-accessories,39.99,7.26,4.56,9,[List],null,B09CTCDDQ4,1,9.05,19.45,17.59,5 year warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,4,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,4.82309E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp
52,Carbon Steel Wok,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",kitchen-accessories,29.99,6.53,4.05,40,[List],null,B01M4IAS51,2,27.69,7.54,10.11,2 year warranty,Ships in 1-2 business days,In Stock,[List],7 days return policy,9,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,1.81086E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp
53,Chopping Board,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",kitchen-accessories,12.99,8.03,3.7,14,[List],null,B099S6795L,2,15.6,6.93,8.51,3 months warranty,Ships in 2 weeks,In Stock,[List],No return policy,5,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,85585730728,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp
54,Citrus Squeezer Yellow,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,kitchen-accessories,8.99,12.1,4.63,22,[List],null,B09RK67Y51,2,17.16,26.8,16.29,2 year warranty,Ships in 3-5 business days,In Stock,[List],60 days return policy,38,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,2.23195E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
55,Egg Slicer,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",kitchen-accessories,6.99,14.76,3.09,40,[List],null,B09NQ4DD29,2,10.81,19.15,13.18,1 week warranty,Ships in 1 month,In Stock,[List],No return policy,32,2025-04-30T05:41:02.0530000,2025-04-30T05:41:02.0530000,6.45625E+12,https://cdn.dummyjson.com/public/qr-code.png,[List],https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
